Date,Steps,Distance,Floors Ascended
15/07/23,3485,2.0,9
14/07/23,2600,1.5,7
13/07/23,3177,2.0,13
12/07/23,6921,4.1,18
11/07/23,4731,2.8,16
10/07/23,2155,1.3,8
09/07/23,2213,1.4,9
08/07/23,2677,1.6,14
07/07/23,2632,1.6,12
06/07/23,3276,2.1,9
05/07/23,3037,1.8,14
04/07/23,2063,1.3,13
03/07/23,2787,1.7,7
02/07/23,5562,3.4,10
01/07/23,3886,2.4,9
30/06/23,2807,1.7,6
29/06/23,5768,3.5,11
28/06/23,2876,1.7,9
27/06/23,7992,5.0,17
26/06/23,12800,8.3,21
25/06/23,6831,4.4,6
24/06/23,11437,7.3,21
23/06/23,11380,7.1,23
22/06/23,7562,4.8,11
21/06/23,16328,10.5,22
20/06/23,9176,6.0,8
19/06/23,10029,6.2,23
18/06/23,6976,4.5,10
17/06/23,7981,5.1,15
16/06/23,7894,4.8,18
15/06/23,12931,8.0,15
14/06/23,13062,8.0,10
13/06/23,6508,4.1,10
12/06/23,14900,9.2,34
11/06/23,8010,5.0,20
10/06/23,7147,4.6,13
09/06/23,10864,6.8,19
08/06/23,9936,6.3,12
07/06/23,8830,5.6,16
06/06/23,8675,5.4,5
05/06/23,0,0.0,0
28/05/23,0,0.0,0
27/05/23,18454,12.1,17
26/05/23,12190,8.7,14
25/05/23,15582,9.5,20
24/05/23,8790,5.4,13
23/05/23,7565,4.9,17
22/05/23,14468,9.2,30
21/05/23,5360,3.5,18
20/05/23,7050,4.4,17
19/05/23,9458,5.8,23
18/05/23,11565,7.0,17
17/05/23,12686,8.0,22
16/05/23,1417,0.9,3
15/05/23,1515,0.9,2
14/05/23,2676,1.6,3
13/05/23,9370,5.9,11
12/05/23,18009,10.5,9
11/05/23,7916,5.0,17
10/05/23,14395,9.3,22
09/05/23,13156,7.8,19
08/05/23,8834,5.4,19
07/05/23,16710,10.1,19
06/05/23,5639,3.5,14
05/05/23,6780,4.4,13
04/05/23,11340,7.0,20
03/05/23,6905,4.3,7
02/05/23,2885,1.9,7
01/05/23,9989,6.3,13
30/04/23,7378,4.7,14
29/04/23,8604,5.4,13
28/04/23,9773,6.4,23
27/04/23,7349,4.7,6
26/04/23,11191,6.8,1
25/04/23,2124,1.3,0
24/04/23,0,0.0,0
23/04/23,1171,0.7,3
22/04/23,4765,3.1,11
21/04/23,4234,2.6,6
20/04/23,8566,5.5,13
19/04/23,11190,7.0,16
18/04/23,7722,4.8,15
17/04/23,7782,4.9,15
16/04/23,17940,12.1,34
15/04/23,5140,3.4,9
14/04/23,10668,7.0,18
13/04/23,22870,13.6,11
12/04/23,9610,5.9,13
11/04/23,9348,5.9,20
10/04/23,5623,3.7,11
09/04/23,4074,2.6,10
08/04/23,13964,8.7,17
07/04/23,8043,5.1,12
06/04/23,9119,6.1,12
05/04/23,13536,9.0,15
04/04/23,1719,1.1,0
03/04/23,7550,4.6,0
02/04/23,8633,5.3,0
01/04/23,2700,1.7,0
31/03/23,7180,4.6,0
30/03/23,6472,4.1,14
29/03/23,7000,4.4,15
28/03/23,7952,5.3,17
